date,spy,red,pink,green,yellow
2017-05-25 9:31:00,241.05,0,0,0,0
2017-05-25 9:32:00,241.02,0,0,0,0
2017-05-25 9:33:00,241.08,0,0,0,0
2017-05-25 9:34:00,241.08,0,0,0,0
2017-05-25 9:35:00,241.01,0,0,0,0
2017-05-25 9:36:00,241.0265,0,0,0,0
2017-05-25 9:37:00,241.05,0,0,0,0
2017-05-25 9:38:00,241.08,0,0,0,0
2017-05-25 9:39:00,241.11,0,0,0,0
2017-05-25 9:40:00,241.04,0,0,0,0
2017-05-25 9:41:00,241.03,0,0,0,0
2017-05-25 9:42:00,241.075,0,0,8,2
2017-05-25 9:43:00,241.11,47,12,36,9
2017-05-25 9:44:00,241.14,51,14,56,14
2017-05-25 9:45:00,241.16,55,15,60,15
2017-05-25 9:46:00,241.18,47,13,44,11
2017-05-25 9:47:00,241.25,54,14,60,15
2017-05-25 9:48:00,241.315,46,12,60,16
2017-05-25 9:49:00,241.34,39,11,68,19
2017-05-25 9:50:00,241.34,43,12,80,22
2017-05-25 9:51:00,241.36,39,10,84,23
2017-05-25 9:52:00,241.36,39,10,88,24
2017-05-25 9:53:00,241.4,35,9,95,25
2017-05-25 9:54:00,241.425,20,7,107,27
2017-05-25 9:55:00,241.45,12,6,103,26
2017-05-25 9:56:00,241.49,20,9,103,27
2017-05-25 9:57:00,241.4901,24,9,114,29
2017-05-25 9:58:00,241.42,24,9,103,28
2017-05-25 9:59:00,241.38,32,11,106,28
2017-05-25 10:00:00,241.41,32,10,106,27
2017-05-25 10:01:00,241.35,28,8,102,26
2017-05-25 10:02:00,241.38,36,10,97,24
2017-05-25 10:03:00,241.38,40,11,97,24
2017-05-25 10:04:00,241.38,32,9,93,23
2017-05-25 10:05:00,241.385,32,10,89,22
2017-05-25 10:06:00,241.46,28,9,81,20
2017-05-25 10:07:00,241.44,16,6,77,19
2017-05-25 10:08:00,241.43,16,6,80,19
2017-05-25 10:09:00,241.4,16,6,76,19
2017-05-25 10:10:00,241.43,24,8,84,22
2017-05-25 10:11:00,241.5,24,8,84,22
2017-05-25 10:12:00,241.55,16,6,96,25
2017-05-25 10:13:00,241.64,16,5,104,27
2017-05-25 10:14:00,241.66,12,4,123,31
2017-05-25 10:15:00,241.67,24,7,123,31
2017-05-25 10:16:00,241.6,20,6,119,30
2017-05-25 10:17:00,241.6,20,6,111,29
2017-05-25 10:18:00,241.6,20,6,115,30
2017-05-25 10:19:00,241.615,20,6,135,35
2017-05-25 10:20:00,241.595,20,6,139,35
2017-05-25 10:21:00,241.63,20,6,159,40
2017-05-25 10:22:00,241.615,24,7,155,39
2017-05-25 10:23:00,241.605,28,8,143,37
2017-05-25 10:24:00,241.59,36,10,143,38
2017-05-25 10:25:00,241.6,40,11,127,34
2017-05-25 10:26:00,241.59,36,10,123,33
2017-05-25 10:27:00,241.605,44,12,116,32
2017-05-25 10:28:00,241.6,40,10,112,31
2017-05-25 10:29:00,241.58,44,12,112,31
2017-05-25 10:30:00,241.61,44,12,112,31
2017-05-25 10:31:00,241.62,40,11,108,29
2017-05-25 10:32:00,241.7,32,9,108,29
2017-05-25 10:33:00,241.72,24,6,104,27
2017-05-25 10:34:00,241.73,20,5,111,28
2017-05-25 10:35:00,241.73,20,5,115,30
2017-05-25 10:36:00,241.79,20,5,115,30
2017-05-25 10:37:00,241.7661,20,6,115,30
2017-05-25 10:38:00,241.73,24,7,114,29
2017-05-25 10:39:00,241.69,28,8,99,25
2017-05-25 10:40:00,241.74,24,7,100,28
2017-05-25 10:41:00,241.755,24,7,104,29
2017-05-25 10:42:00,241.74,28,8,104,29
2017-05-25 10:43:00,241.71,32,9,112,31
2017-05-25 10:44:00,241.685,32,9,104,28
2017-05-25 10:45:00,241.68,36,10,92,25
2017-05-25 10:46:00,241.7295,40,11,96,26
2017-05-25 10:47:00,241.78,32,9,92,25
2017-05-25 10:48:00,241.75,28,8,88,25
2017-05-25 10:49:00,241.7501,24,7,88,25
2017-05-25 10:50:00,241.75,24,7,92,27
2017-05-25 10:51:00,241.74,32,9,92,27
2017-05-25 10:52:00,241.7643,20,7,92,27
2017-05-25 10:53:00,241.77,16,6,92,28
2017-05-25 10:54:00,241.77,12,5,96,29
2017-05-25 10:55:00,241.755,12,5,100,30
2017-05-25 10:56:00,241.76,16,6,104,31
2017-05-25 10:57:00,241.745,16,6,112,33
2017-05-25 10:58:00,241.745,32,10,104,31
2017-05-25 10:59:00,241.72,36,11,104,32
2017-05-25 11:00:00,241.665,32,9,100,31
2017-05-25 11:01:00,241.69,55,14,111,32
2017-05-25 11:02:00,241.655,59,15,92,28
2017-05-25 11:03:00,241.67,63,16,81,25
2017-05-25 11:04:00,241.665,79,20,78,24
2017-05-25 11:05:00,241.67,75,19,74,22
2017-05-25 11:06:00,241.7,79,20,78,23
2017-05-25 11:07:00,241.7,87,22,86,25
2017-05-25 11:08:00,241.76,75,19,90,27
2017-05-25 11:09:00,241.76,71,18,98,29
2017-05-25 11:10:00,241.8981,35,9,102,30
2017-05-25 11:11:00,241.9108,31,8,102,30
2017-05-25 11:12:00,241.8634,31,8,102,30
2017-05-25 11:13:00,241.855,27,7,113,32
2017-05-25 11:14:00,241.8,31,8,113,31
2017-05-25 11:15:00,241.81,31,8,109,30
2017-05-25 11:16:00,241.8352,31,8,143,38
2017-05-25 11:17:00,241.91,31,7,151,40
2017-05-25 11:18:00,241.91,20,5,155,42
2017-05-25 11:19:00,241.88,28,7,159,43
2017-05-25 11:20:00,241.87,28,7,148,40
2017-05-25 11:21:00,241.905,32,8,148,41
2017-05-25 11:22:00,241.89,32,8,148,41
2017-05-25 11:23:00,241.86,32,8,141,39
2017-05-25 11:24:00,241.83,32,8,141,39
2017-05-25 11:25:00,241.77,32,8,117,34
2017-05-25 11:26:00,241.7825,32,8,117,34
2017-05-25 11:27:00,241.7905,44,11,113,33
2017-05-25 11:28:00,241.8,44,11,113,33
2017-05-25 11:29:00,241.77,59,14,105,31
2017-05-25 11:30:00,241.84,71,18,105,31
2017-05-25 11:31:00,241.88,79,21,101,30
2017-05-25 11:32:00,241.83,79,21,105,31
2017-05-25 11:33:00,241.8401,75,20,109,32
2017-05-25 11:34:00,241.8,75,20,101,30
2017-05-25 11:35:00,241.76,75,20,97,28
2017-05-25 11:36:00,241.62,89,22,78,22
2017-05-25 11:37:00,241.636,89,22,70,20
2017-05-25 11:38:00,241.58,89,22,70,20
2017-05-25 11:39:00,241.555,93,23,66,19
2017-05-25 11:40:00,241.58,93,24,55,17
2017-05-25 11:41:00,241.5,97,25,39,13
2017-05-25 11:42:00,241.47,105,27,39,13
2017-05-25 11:43:00,241.495,122,34,39,13
2017-05-25 11:44:00,241.509,134,37,31,11
2017-05-25 11:45:00,241.47,134,37,35,13
2017-05-25 11:46:00,241.45,134,36,31,12
2017-05-25 11:47:00,241.48,134,36,24,11
2017-05-25 11:48:00,241.47,134,36,20,10
2017-05-25 11:49:00,241.52,134,35,16,9
2017-05-25 11:50:00,241.52,134,35,16,9
2017-05-25 11:51:00,241.57,111,30,16,9
2017-05-25 11:52:00,241.58,111,29,20,10
2017-05-25 11:53:00,241.58,99,26,20,10
2017-05-25 11:54:00,241.52,91,24,20,11
2017-05-25 11:55:00,241.4901,95,25,27,12
2017-05-25 11:56:00,241.4544,95,25,37,13
2017-05-25 11:57:00,241.46,95,25,41,14
2017-05-25 11:58:00,241.47,91,24,42,14
2017-05-25 11:59:00,241.49,91,24,46,15
2017-05-25 12:00:00,241.4592,91,24,46,15
2017-05-25 12:01:00,241.44,99,26,50,15
2017-05-25 12:02:00,241.41,107,29,38,12
2017-05-25 12:03:00,241.5,103,28,38,12
2017-05-25 12:04:00,241.48,103,28,38,12
2017-05-25 12:05:00,241.5356,99,27,26,9
2017-05-25 12:06:00,241.52,83,23,26,8
2017-05-25 12:07:00,241.52,68,20,26,8
2017-05-25 12:08:00,241.5401,84,24,26,7
2017-05-25 12:09:00,241.4801,80,24,26,7
2017-05-25 12:10:00,241.5,76,23,26,7
2017-05-25 12:11:00,241.461,76,23,34,9
2017-05-25 12:12:00,241.46,80,25,34,8
2017-05-25 12:13:00,241.45,72,23,42,10
2017-05-25 12:14:00,241.42,68,24,38,9
2017-05-25 12:15:00,241.44,68,23,42,10
2017-05-25 12:16:00,241.395,76,25,42,10
2017-05-25 12:17:00,241.39,80,26,49,11
2017-05-25 12:18:00,241.39,84,27,49,11
2017-05-25 12:19:00,241.46,99,30,49,11
2017-05-25 12:20:00,241.515,68,23,49,10
2017-05-25 12:21:00,241.51,68,23,49,10
2017-05-25 12:22:00,241.69,40,15,45,10
2017-05-25 12:23:00,241.66,40,14,56,12
2017-05-25 12:24:00,241.675,36,13,64,15
2017-05-25 12:25:00,241.67,28,10,75,17
2017-05-25 12:26:00,241.69,28,10,95,22
2017-05-25 12:27:00,241.655,24,9,111,25
2017-05-25 12:28:00,241.68,20,8,126,30
2017-05-25 12:29:00,241.63,16,7,126,30
2017-05-25 12:30:00,241.65,16,7,138,33
2017-05-25 12:31:00,241.65,20,8,138,33
2017-05-25 12:32:00,241.72,16,5,142,34
2017-05-25 12:33:00,241.75,16,5,146,35
2017-05-25 12:34:00,241.7667,24,7,150,36
2017-05-25 12:35:00,241.76,24,7,150,37
2017-05-25 12:36:00,241.825,32,9,146,36
2017-05-25 12:37:00,241.81,20,6,150,37
2017-05-25 12:38:00,241.835,20,6,158,40
2017-05-25 12:39:00,241.85,24,7,162,43
2017-05-25 12:40:00,241.81,24,7,162,44
2017-05-25 12:41:00,241.815,24,7,154,42
2017-05-25 12:42:00,241.795,24,7,146,39
2017-05-25 12:43:00,241.8,24,7,150,39
2017-05-25 12:44:00,241.85,28,8,154,40
2017-05-25 12:45:00,241.81,24,7,150,38
2017-05-25 12:46:00,241.825,24,7,146,36
2017-05-25 12:47:00,241.8267,24,7,146,36
2017-05-25 12:48:00,241.81,32,9,150,37
2017-05-25 12:49:00,241.79,32,9,132,33
2017-05-25 12:50:00,241.8175,40,12,132,32
2017-05-25 12:51:00,241.821,36,11,132,32
2017-05-25 12:52:00,241.79,36,11,124,30
2017-05-25 12:53:00,241.86,24,8,124,31
2017-05-25 12:54:00,241.83,20,7,128,33
2017-05-25 12:55:00,241.87,20,7,128,33
2017-05-25 12:56:00,241.83,20,7,124,32
2017-05-25 12:57:00,241.81,20,7,113,31
2017-05-25 12:58:00,241.8,24,7,113,32
2017-05-25 12:59:00,241.79,28,8,113,32
2017-05-25 13:00:00,241.86,28,8,121,34
2017-05-25 13:01:00,241.851,28,8,121,34
2017-05-25 13:02:00,241.86,32,9,121,34
2017-05-25 13:03:00,241.85,32,9,102,29
2017-05-25 13:04:00,241.835,36,10,90,25
2017-05-25 13:05:00,241.82,32,9,90,25
2017-05-25 13:06:00,241.839,36,10,82,23
2017-05-25 13:07:00,241.765,36,10,63,18
2017-05-25 13:08:00,241.775,36,10,59,17
2017-05-25 13:09:00,241.765,40,11,55,17
2017-05-25 13:10:00,241.7599,44,12,59,18
